id,date,stadium,season,tournament,round,home_team,away_team
974433,2023-04-15 03:05:00+00:00,Estadio de Mazatlan,2022,Clausura,15,Mazatlan,Club Tijuana
816424,2022-03-20 01:00:00+00:00,Estadio Universitario de Nuevo Leon,2021,Clausura,11,Tigres UANL,Monterrey
816339,2022-01-15 03:00:00+00:00,Estadio Victoria de Aguascalientes,2021,Clausura,2,Necaxa,Monterrey
169117,2019-08-24 02:00:00+00:00,Estadio Generalisimo Jose Maria Morelos y Pavon,2019,Apertura,6,Monarcas,U.N.A.M. - Pumas
816406,2022-03-06 03:00:00+00:00,Estadio AKRON,2021,Clausura,9,Guadalajara Chivas,Santos Laguna
169090,2019-08-03 02:00:00+00:00,Estadio Jalisco,2019,Apertura,3,Atlas,Santos Laguna
143832,2016-09-17 02:00:00+00:00,Estadio Luis Pirata Fuente,2016,Apertura,9,Veracruz,Monarcas
974355,2023-02-12 01:05:00+00:00,Estadio Olimpico Benito Juarez,2022,Clausura,6,FC Juarez,Santos Laguna
120469,2018-11-24 01:00:00+00:00,Estadio Jose Maria Morelos y Pavon,2018,Apertura,17,Monarcas,Cruz Azul
143523,2017-09-28 02:06:00+00:00,Estadio Miguel Hidalgo,2017,Apertura,11,Pachuca,Cruz Azul
1031381,2023-10-21 23:00:00+00:00,Estadio Leon,2023,Apertura,13,Leon,Toluca
143331,2018-02-15 01:00:00+00:00,Estadio La Corregidora (Santiago de Queretaro),2017,Clausura,7,Club Queretaro,Guadalajara Chivas
652816,2021-01-17 03:06:00+00:00,Estadio BBVA Bancomer,2020,Clausura,2,Monterrey,Club America
864176,2022-08-21 02:05:00+00:00,Estadio Olimpico Benito Juarez,2022,Apertura,10,FC Juarez,Mazatlan
143248,2018-05-14 00:00:00+00:00,Estadio Azteca (Ciudad de Mexico (D.F.)),2017,Clausura,Semi-finals,Club America,Santos Laguna
169150,2019-09-15 23:45:00+00:00,Estadio Nuevo Corona,2019,Apertura,9,Santos Laguna,Pachuca
1150321,2024-03-30 02:00:00+00:00,Estadio Azteca,2023,Clausura,13,Club America,Atletico San Luis
974401,2023-03-13 01:05:00+00:00,Estadio Hidalgo,2022,Clausura,11,Pachuca,Monterrey
813309,2021-11-26 01:00:00+00:00,Estadio Cuauhtemoc,2021,Apertura,Quarter-finals,Puebla,Leon
974425,2023-04-08 23:00:00+00:00,Estadio AKRON,2022,Clausura,14,Guadalajara Chivas,Necaxa
143453,2017-08-12 00:00:00+00:00,Estadio Cuauhtemoc,2017,Apertura,4,Puebla,Club Tijuana
143324,2018-02-11 03:06:00+00:00,Estadio AKRON (Zapopan),2017,Clausura,6,Guadalajara Chivas,Santos Laguna
816409,2022-04-07 02:06:00+00:00,Estadio Caliente,2021,Clausura,9,Club Tijuana,Atletico San Luis
1031349,2023-09-24 01:00:00+00:00,Estadio AKRON,2023,Apertura,9,Guadalajara Chivas,Pachuca
1031400,2023-11-02 01:00:00+00:00,Estadio Azteca,2023,Apertura,15,Cruz Azul,FC Juarez
