id,referee,date,stadium,season,tournament,round,home_team,away_team,home_goals,away_goals,result
864217,C. Ramos,2022-09-11 21:00:00,Estadio Azteca,2022,Apertura,14,Cruz Azul,Mazatlán,2,0,home
864218,Ó. Mejía,2022-09-11 23:05:00,Estadio Jalisco,2022,Apertura,14,Atlas,Atletico San Luis,1,3,away
864219,Ó. Macías,2022-09-12 01:05:00,Estadio Hidalgo,2022,Apertura,14,Pachuca,Club Tijuana,6,1,home
864174,F. Guerrero,2022-09-14 02:05:00,Estadio AKRON,2022,Apertura,9,Guadalajara Chivas,Tigres UANL,1,4,away
864138,F. Hernández,2022-09-15 02:05:00,Estadio Azteca,2022,Apertura,5,Club America,Santos Laguna,3,3,draw
864160,V. Cáceres,2022-09-15 02:05:00,Estadio Olímpico Benito Juárez,2022,Apertura,8,FC Juarez,Pachuca,2,1,home
864233,M. Ortíz,2022-09-16 00:00:00,Estadio Azteca,2022,Apertura,16,Cruz Azul,Leon,2,1,home
864220,C. Ramos,2022-09-17 00:00:00,Estadio Cuauhtémoc,2022,Apertura,15,Puebla,Tigres UANL,2,1,home
864221,D. Quintero,2022-09-17 02:00:00,Estadio de Mazatlán,2022,Apertura,15,Mazatlán,Toluca,1,1,draw
864223,M. Ortíz,2022-09-18 00:05:00,Estadio BBVA,2022,Apertura,15,Monterrey,Atlas,2,0,home
864224,A. Escobedo,2022-09-18 01:00:00,Estadio Azteca,2022,Apertura,15,Club America,Guadalajara Chivas,2,1,home
864225,F. Guerrero,2022-09-18 22:00:00,Estadio Olímpico de Universitario,2022,Apertura,15,U.N.A.M. - Pumas,Cruz Azul,1,2,away
864226,Ó. Macías,2022-09-19 00:05:00,Estadio Nuevo Corona,2022,Apertura,15,Santos Laguna,FC Juarez,2,0,home
864227,Ó. Mejía,2022-09-19 00:05:00,Estadio León,2022,Apertura,15,Leon,Club Queretaro,3,1,home
864222,L. Santander,2022-09-19 02:00:00,Estadio Alfonso Lastras Ramírez,2022,Apertura,15,Atletico San Luis,Pachuca,1,2,away
864228,D. Montaño,2022-09-19 02:05:00,Estadio Caliente,2022,Apertura,15,Club Tijuana,Necaxa,1,1,draw
864237,F. Hernández,2022-09-24 00:00:00,Estadio Victoria de Aguascalientes,2022,Apertura,16,Necaxa,Mazatlán,2,2,draw
864149,A. Escobedo,2022-09-24 02:05:00,Estadio Cuauhtémoc,2022,Apertura,7,Puebla,U.N.A.M. - Pumas,2,1,home
864238,M. Ortíz,2022-10-01 00:00:00,Estadio Cuauhtémoc,2022,Apertura,17,Puebla,Club America,1,2,away
864239,D. Quintero,2022-10-01 02:00:00,Estadio Olímpico Benito Juárez,2022,Apertura,17,FC Juarez,U.N.A.M. - Pumas,3,1,home
864240,Ó. Mejía,2022-10-01 22:00:00,Estadio Alfonso Lastras Ramírez,2022,Apertura,17,Atletico San Luis,Tigres UANL,0,3,away
864241,F. Hernández,2022-10-01 22:05:00,Estadio BBVA,2022,Apertura,17,Monterrey,Pachuca,0,0,draw
864242,V. Cáceres,2022-10-02 00:05:00,Estadio Jalisco,2022,Apertura,17,Atlas,Necaxa,1,0,home
864243,C. Ramos,2022-10-02 02:05:00,Estadio Azteca,2022,Apertura,17,Cruz Azul,Guadalajara Chivas,2,1,home
864244,E. Morales,2022-10-02 17:00:00,Estadio Nemesio Díez,2022,Apertura,17,Toluca,Club Queretaro,4,1,home
864245,A. Escobedo,2022-10-02 23:05:00,Estadio Nuevo Corona,2022,Apertura,17,Santos Laguna,Mazatlán,3,0,home
864246,L. Santander,2022-10-03 01:00:00,Estadio León,2022,Apertura,17,Leon,Club Tijuana,2,2,draw
963835,C. Ramos,2022-10-09 00:00:00,Estadio Universitario de Nuevo León,2022,Apertura,Reclasificación,Tigres UANL,Necaxa,2,0,home
963837,F. Guerrero,2022-10-09 02:15:00,Estadio Azteca,2022,Apertura,Reclasificación,Cruz Azul,Leon,1,0,home
963836,M. Ortíz,2022-10-09 17:00:00,Estadio Nemesio Díez,2022,Apertura,Reclasificación,Toluca,FC Juarez,3,0,home
963838,L. Santander,2022-10-09 21:30:00,Estadio Cuauhtémoc,2022,Apertura,Reclasificación,Puebla,Guadalajara Chivas,1,1,draw
965507,M. Ortíz,2022-10-13 00:06:00,Estadio Cuauhtémoc,2022,Apertura,Quarter-finals,Puebla,Club America,1,6,away
965503,V. Cáceres,2022-10-13 02:06:00,Estadio Azteca,2022,Apertura,Quarter-finals,Cruz Azul,Monterrey,0,0,draw
965505,D. Montaño,2022-10-14 00:06:00,Estadio Nemesio Díez,2022,Apertura,Quarter-finals,Toluca,Santos Laguna,4,3,home
965509,F. Hernández,2022-10-14 02:06:00,Estadio Universitario de Nuevo León,2022,Apertura,Quarter-finals,Tigres UANL,Pachuca,1,0,home
965508,D. Quintero,2022-10-16 01:06:00,Estadio Azteca,2022,Apertura,Quarter-finals,Club America,Puebla,5,1,home
965504,A. Escobedo,2022-10-16 23:06:00,Estadio BBVA,2022,Apertura,Quarter-finals,Monterrey,Cruz Azul,3,0,home
965506,L. Santander,2022-10-17 00:06:00,Estadio Nuevo Corona,2022,Apertura,Quarter-finals,Santos Laguna,Toluca,1,2,away
965510,F. Guerrero,2022-10-17 02:06:00,Estadio Hidalgo,2022,Apertura,Quarter-finals,Pachuca,Tigres UANL,2,1,home
967071,M. Ortíz,2022-10-20 02:06:00,Estadio Nemesio Díez,2022,Apertura,Semi-finals,Toluca,Club America,2,1,home
967073,C. Ramos,2022-10-21 02:06:00,Estadio Hidalgo,2022,Apertura,Semi-finals,Pachuca,Monterrey,5,2,home
967072,A. Escobedo,2022-10-23 01:06:00,Estadio Azteca,2022,Apertura,Semi-finals,Club America,Toluca,1,1,draw
967074,L. Santander,2022-10-24 01:06:00,Estadio BBVA,2022,Apertura,Semi-finals,Monterrey,Pachuca,0,1,away
968247,M. Ortíz,2022-10-28 01:06:00,Estadio Nemesio Díez,2022,Apertura,Final,Toluca,Pachuca,1,5,away
968248,A. Escobedo,2022-10-31 01:36:00,Estadio Hidalgo,2022,Apertura,Final,Pachuca,Toluca,3,1,home
973610,F. Hernández,2023-01-07 01:00:00,Estadio Victoria de Aguascalientes,2022,Clausura,1,Necaxa,Atletico San Luis,2,3,away
973612,V. Cáceres,2023-01-07 23:00:00,Estadio Azteca,2022,Clausura,1,Club America,Club Queretaro,0,0,draw
973614,A. Escobedo,2023-01-08 03:10:00,Estadio BBVA,2022,Clausura,1,Monterrey,Guadalajara Chivas,0,1,away
973615,Ó. Macías,2023-01-08 18:00:00,Estadio Olímpico de Universitario,2022,Clausura,1,U.N.A.M. - Pumas,FC Juarez,2,1,home
973616,Ó. Mejía,2023-01-09 01:00:00,Estadio Nuevo Corona,2022,Clausura,1,Santos Laguna,Tigres UANL,0,3,away
973618,D. Quintero,2023-01-09 03:10:00,Estadio Caliente,2022,Clausura,1,Club Tijuana,Cruz Azul,1,1,draw
973617,D. Montaño,2023-01-10 03:10:00,Estadio Hidalgo,2022,Clausura,1,Pachuca,Puebla,5,1,home
973619,I. Lopez,2023-01-13 03:00:00,Estadio Jalisco,2022,Clausura,2,Atlas,Mazatlán,2,1,home
973620,D. Quintero,2023-01-14 01:05:00,Estadio Alfonso Lastras Ramírez,2022,Clausura,2,Atletico San Luis,Guadalajara Chivas,0,0,draw
973621,J. Camacho,2023-01-14 03:05:00,Estadio Cuauhtémoc,2022,Clausura,2,Puebla,Club Queretaro,2,0,home
973622,C. Ramos,2023-01-14 23:00:00,Estadio Azteca,2022,Clausura,2,Cruz Azul,Monterrey,2,3,away
973623,F. Guerrero,2023-01-15 01:05:00,Estadio Nemesio Díez,2022,Clausura,2,Toluca,Club America,2,2,draw
973625,V. Cáceres,2023-01-15 01:05:00,Estadio Olímpico Benito Juárez,2022,Clausura,2,FC Juarez,Club Tijuana,3,0,home
973624,L. Santander,2023-01-15 03:10:00,Estadio Nuevo Corona,2022,Clausura,2,Santos Laguna,U.N.A.M. - Pumas,3,0,home
973626,M. Ortíz,2023-01-16 01:05:00,Estadio Universitario de Nuevo León,2022,Clausura,2,Tigres UANL,Pachuca,4,1,home
973627,B. González,2023-01-17 03:05:00,Estadio León,2022,Clausura,2,Leon,Necaxa,2,1,home
974323,C. Ramos,2023-01-21 03:00:00,Estadio de Mazatlán,2022,Clausura,3,Mazatlán,Santos Laguna,1,2,away
974324,A. Escobedo,2023-01-21 03:10:00,Estadio Caliente,2022,Clausura,3,Club Tijuana,Tigres UANL,1,1,draw
974326,Ó. Mejía,2023-01-22 01:10:00,Estadio Azteca,2022,Clausura,3,Club America,Puebla,2,2,draw
974327,M. Ortíz,2023-01-22 03:10:00,Estadio AKRON,2022,Clausura,3,Guadalajara Chivas,Toluca,1,2,away
974328,J. Camacho,2023-01-22 03:10:00,Estadio Victoria de Aguascalientes,2022,Clausura,3,Necaxa,Cruz Azul,1,0,home
974329,E. Morales,2023-01-22 18:00:00,Estadio Olímpico de Universitario,2022,Clausura,3,U.N.A.M. - Pumas,Leon,4,1,home
974330,Ó. Macías,2023-01-22 23:00:00,Estadio La Corregidora,2022,Clausura,3,Club Queretaro,Atlas,3,3,draw
974325,F. Guerrero,2023-01-22 23:06:00,Estadio BBVA,2022,Clausura,3,Monterrey,Atletico San Luis,3,1,home
974331,I. Lopez,2023-01-23 01:10:00,Estadio Hidalgo,2022,Clausura,3,Pachuca,FC Juarez,4,1,home
974332,M. Ortíz,2023-01-27 03:05:00,Estadio Jalisco,2022,Clausura,4,Atlas,Santos Laguna,2,2,draw
974333,J. Lopez,2023-01-28 01:05:00,Estadio Cuauhtémoc,2022,Clausura,4,Puebla,Monterrey,1,2,away
974334,I. Lopez,2023-01-28 03:05:00,Estadio Caliente,2022,Clausura,4,Club Tijuana,U.N.A.M. - Pumas,0,0,draw
974336,D. Montaño,2023-01-29 01:05:00,Estadio Universitario de Nuevo León,2022,Clausura,4,Tigres UANL,Atletico San Luis,0,0,draw
974337,L. Santander,2023-01-29 03:05:00,Estadio Azteca,2022,Clausura,4,Club America,Mazatlán,6,0,home
974338,C. Ramos,2023-01-29 03:05:00,Estadio Olímpico Benito Juárez,2022,Clausura,4,FC Juarez,Guadalajara Chivas,1,2,away
974339,A. Escobedo,2023-01-29 18:00:00,Estadio Nemesio Díez,2022,Clausura,4,Toluca,Leon,0,0,draw
974340,V. Cáceres,2023-01-30 01:00:00,Estadio Hidalgo,2022,Clausura,4,Pachuca,Necaxa,2,1,home
973613,L. Santander,2023-02-02 02:05:00,Estadio Jalisco,2022,Clausura,1,Atlas,Toluca,0,0,draw
974341,A. Escobedo,2023-02-03 03:00:00,Estadio Alfonso Lastras Ramírez,2022,Clausura,5,Atletico San Luis,Puebla,2,0,home
974342,C. Ramos,2023-02-04 01:00:00,Estadio Victoria de Aguascalientes,2022,Clausura,5,Necaxa,Club Tijuana,1,1,draw
974343,M. Ortíz,2023-02-04 03:05:00,Estadio de Mazatlán,2022,Clausura,5,Mazatlán,FC Juarez,2,3,away
